age,sex,webhltbeh,wwwhr,happy,health,life
38.0,female,,,pretty happy,good,routine
74.0,male,,,very happy,fair,routine
73.0,female,,,very happy,excellent,exciting
27.0,male,,,very happy,good,exciting
44.0,male,,,very happy,good,exciting
48.0,female,,,very happy,fair,exciting
45.0,female,,,pretty happy,good,routine
26.0,female,,,pretty happy,excellent,routine
41.0,male,,,pretty happy,excellent,routine
38.0,female,,,pretty happy,good,routine
56.0,male,,,pretty happy,fair,exciting
51.0,male,,,very happy,excellent,exciting
33.0,female,,,pretty happy,good,exciting
79.0,female,,,very happy,fair,routine
43.0,female,,,very happy,excellent,exciting
38.0,female,,,pretty happy,excellent,exciting
40.0,female,,,pretty happy,fair,exciting
50.0,male,,,pretty happy,excellent,exciting
23.0,male,,,pretty happy,excellent,exciting
41.0,female,,,pretty happy,good,routine
39.0,female,,,pretty happy,good,routine
56.0,male,,,pretty happy,good,exciting
25.0,male,,,pretty happy,good,exciting
23.0,male,,,very happy,excellent,routine
79.0,female,,,pretty happy,poor,routine
59.0,male,,,very happy,good,exciting
48.0,female,,,very happy,excellent,exciting
28.0,male,,,very happy,excellent,exciting
50.0,male,,,not too happy,fair,routine
67.0,female,,,pretty happy,excellent,exciting
39.0,female,,,not too happy,fair,routine
41.0,male,,,not too happy,fair,routine
29.0,female,,,not too happy,poor,routine
37.0,female,,,pretty happy,fair,routine
75.0,female,,,pretty happy,fair,routine
59.0,female,,,pretty happy,fair,routine
69.0,female,,,very happy,fair,exciting
54.0,male,,,pretty happy,fair,routine
72.0,female,,,very happy,good,exciting
80.0,female,,,very happy,good,exciting
40.0,male,,,pretty happy,excellent,exciting
77.0,male,,,very happy,excellent,exciting
48.0,male,,,very happy,excellent,exciting
77.0,female,,,very happy,fair,exciting
22.0,female,,,pretty happy,good,exciting
57.0,female,,,not too happy,fair,routine
23.0,female,,,pretty happy,good,exciting
30.0,male,,,very happy,excellent,exciting
28.0,female,,,not too happy,good,routine
59.0,female,,,not too happy,excellent,routine
24.0,female,,,very happy,good,exciting
19.0,female,,,very happy,excellent,exciting
27.0,male,,,pretty happy,good,exciting
22.0,female,,,pretty happy,good,exciting
49.0,male,,,pretty happy,good,routine
37.0,female,,,pretty happy,good,routine
19.0,female,,,not too happy,good,routine
43.0,female,,,pretty happy,good,routine
36.0,female,,,very happy,fair,routine
40.0,female,,,pretty happy,good,routine
37.0,female,,,pretty happy,good,exciting
55.0,male,,,very happy,fair,exciting
68.0,female,,,pretty happy,fair,routine
21.0,female,,,pretty happy,excellent,routine
36.0,female,,,very happy,good,routine
56.0,female,,,very happy,good,routine
20.0,male,,,very happy,good,exciting
63.0,male,,,pretty happy,poor,routine
35.0,female,,,not too happy,good,routine
51.0,female,,,pretty happy,excellent,routine
35.0,male,,,very happy,excellent,exciting
42.0,female,,,very happy,good,routine
20.0,female,,,pretty happy,good,routine
63.0,female,,,very happy,fair,exciting
45.0,female,,,pretty happy,good,routine
27.0,female,,,very happy,good,routine
26.0,female,,,pretty happy,good,routine
39.0,female,,,very happy,good,routine
33.0,male,,,pretty happy,good,exciting
26.0,female,,,pretty happy,excellent,routine
37.0,female,,,very happy,excellent,routine
42.0,female,,,very happy,excellent,routine
62.0,female,,,very happy,good,routine
55.0,male,,,very happy,excellent,routine
39.0,female,,,pretty happy,good,exciting
42.0,female,,,pretty happy,good,dull
75.0,female,,,very happy,fair,routine
54.0,female,,,pretty happy,excellent,exciting
73.0,female,,,very happy,good,exciting
36.0,female,,,pretty happy,fair,exciting
74.0,male,,,very happy,fair,routine
72.0,female,,,not too happy,fair,routine
44.0,male,,,pretty happy,fair,routine
19.0,female,,,pretty happy,fair,routine
23.0,female,,,not too happy,fair,exciting
31.0,female,,,very happy,excellent,exciting
54.0,female,,,very happy,good,exciting
30.0,female,,,very happy,excellent,routine
22.0,male,,,pretty happy,good,routine
42.0,female,,,pretty happy,excellent,routine
29.0,male,,,pretty happy,fair,routine
38.0,male,,,pretty happy,good,routine
32.0,female,,,pretty happy,excellent,exciting
36.0,female,,,pretty happy,good,routine
21.0,male,,,pretty happy,good,routine
53.0,male,,,pretty happy,excellent,routine
53.0,male,,,very happy,excellent,exciting
39.0,male,,,pretty happy,good,routine
37.0,male,,,very happy,excellent,exciting
36.0,male,,,not too happy,good,routine
58.0,female,,,not too happy,fair,routine
56.0,female,,,pretty happy,fair,
29.0,female,,,very happy,good,exciting
26.0,male,,,not too happy,excellent,exciting
,male,,,pretty happy,good,routine
59.0,male,,,pretty happy,good,routine
57.0,male,,,pretty happy,fair,exciting
21.0,female,,,pretty happy,fair,exciting
74.0,female,,,very happy,fair,routine
36.0,female,,,very happy,good,
30.0,female,,,pretty happy,fair,
19.0,male,,,not too happy,fair,exciting
62.0,female,,,pretty happy,good,routine
26.0,male,,,pretty happy,good,routine
26.0,female,,,pretty happy,good,routine
23.0,male,,,pretty happy,fair,routine
28.0,female,,,very happy,excellent,routine
23.0,female,,,pretty happy,good,routine
30.0,female,,,not too happy,fair,routine
27.0,female,,,pretty happy,excellent,routine
26.0,female,,,not too happy,fair,routine
22.0,female,,,pretty happy,excellent,routine
25.0,male,,,not too happy,poor,routine
26.0,female,,,not too happy,good,routine
31.0,male,,,pretty happy,good,exciting
52.0,female,,,pretty happy,good,routine
75.0,male,,,pretty happy,good,exciting
31.0,female,,,very happy,good,exciting
75.0,male,,,pretty happy,fair,exciting
63.0,male,,,very happy,fair,exciting
76.0,female,,,very happy,fair,routine
69.0,female,,,not too happy,excellent,exciting
63.0,male,,,very happy,good,exciting
52.0,male,,,not too happy,poor,exciting
71.0,male,,,pretty happy,poor,dull
58.0,male,,,very happy,poor,routine
48.0,female,,,pretty happy,fair,routine
54.0,female,,,very happy,excellent,exciting
23.0,female,,,very happy,excellent,exciting
45.0,male,,,pretty happy,excellent,routine
37.0,male,,,very happy,excellent,exciting
23.0,female,,,pretty happy,good,routine
37.0,male,,,pretty happy,excellent,exciting
35.0,female,,,pretty happy,excellent,exciting
49.0,female,,,pretty happy,excellent,routine
41.0,female,,,pretty happy,good,exciting
48.0,male,,,very happy,fair,routine
58.0,female,,,pretty happy,good,routine
25.0,female,,,very happy,excellent,exciting
42.0,male,,,pretty happy,fair,routine
33.0,female,,,not too happy,good,dull
41.0,female,,,very happy,excellent,routine
33.0,male,,,pretty happy,good,routine
29.0,female,,,pretty happy,good,exciting
34.0,male,,,very happy,fair,routine
32.0,female,,,very happy,good,exciting
38.0,female,,,very happy,excellent,exciting
38.0,female,,,pretty happy,fair,dull
47.0,female,,,pretty happy,good,exciting
54.0,male,,,very happy,excellent,exciting
25.0,female,,,very happy,good,exciting
35.0,female,,,very happy,good,routine
30.0,female,,,pretty happy,excellent,exciting
21.0,female,,,very happy,good,routine
45.0,male,,,pretty happy,fair,routine
60.0,female,,,very happy,excellent,exciting
72.0,male,,,not too happy,poor,exciting
28.0,male,,,pretty happy,good,dull
54.0,male,,,pretty happy,good,dull
53.0,female,,,pretty happy,poor,routine
50.0,male,,,pretty happy,good,exciting
48.0,female,,,pretty happy,excellent,exciting
46.0,female,,,pretty happy,good,exciting
55.0,female,,,very happy,excellent,exciting
49.0,female,,,pretty happy,excellent,exciting
24.0,male,,,pretty happy,excellent,routine
36.0,female,,,pretty happy,good,exciting
34.0,female,,,pretty happy,good,routine
52.0,female,,,pretty happy,good,routine
46.0,male,,,pretty happy,excellent,routine
33.0,male,,,pretty happy,good,routine
50.0,male,,,very happy,fair,routine
32.0,male,,,pretty happy,good,routine
33.0,female,,,very happy,excellent,exciting
61.0,female,,,pretty happy,good,routine
23.0,female,,,very happy,excellent,exciting
46.0,male,,,pretty happy,fair,routine
39.0,male,,,pretty happy,good,routine
22.0,female,,,very happy,good,exciting
42.0,male,,,pretty happy,fair,routine
37.0,male,,,pretty happy,good,exciting
29.0,male,,,very happy,excellent,exciting
42.0,female,,,very happy,excellent,routine
30.0,male,,,very happy,excellent,exciting
42.0,female,,,pretty happy,good,routine
45.0,male,,,very happy,good,exciting
27.0,male,,,very happy,excellent,routine
72.0,female,,,very happy,excellent,exciting
19.0,male,,,very happy,excellent,exciting
54.0,female,,,very happy,excellent,routine
33.0,male,,,pretty happy,excellent,routine
49.0,male,,,pretty happy,good,routine
25.0,male,,,pretty happy,good,routine
47.0,female,,,pretty happy,excellent,routine
31.0,male,,,pretty happy,good,exciting
28.0,female,,,pretty happy,good,routine
31.0,female,,,pretty happy,excellent,routine
20.0,male,,,pretty happy,good,routine
34.0,female,,,very happy,excellent,routine
46.0,female,,,not too happy,poor,dull
37.0,female,,,not too happy,excellent,routine
53.0,female,,,very happy,fair,exciting
53.0,female,,,very happy,excellent,routine
50.0,male,,,not too happy,fair,dull
87.0,female,,,very happy,poor,routine
64.0,male,,,very happy,good,routine
39.0,female,,,very happy,excellent,exciting
48.0,female,,,very happy,good,exciting
27.0,female,,,pretty happy,good,exciting
37.0,female,,,very happy,excellent,exciting
24.0,male,,,pretty happy,good,exciting
72.0,male,,,pretty happy,good,routine
49.0,male,,,very happy,good,exciting
75.0,female,,,very happy,good,exciting
50.0,female,,,very happy,excellent,routine
57.0,male,,,pretty happy,fair,routine
65.0,male,,,very happy,excellent,exciting
43.0,female,,,very happy,excellent,exciting
23.0,female,,,pretty happy,good,routine
47.0,male,,,not too happy,good,routine
24.0,female,,,pretty happy,good,
57.0,male,,,not too happy,fair,routine
20.0,male,,,pretty happy,good,routine
44.0,female,,,pretty happy,fair,routine
60.0,female,,,very happy,excellent,
57.0,male,,,pretty happy,excellent,exciting
85.0,female,,,not too happy,good,routine
23.0,male,,,pretty happy,excellent,exciting
40.0,female,,,very happy,good,exciting
40.0,female,,,pretty happy,fair,routine
40.0,female,,,pretty happy,good,routine
52.0,male,,,not too happy,good,dull
19.0,female,,,not too happy,fair,routine
37.0,male,,,pretty happy,good,exciting
70.0,female,,,pretty happy,good,exciting
52.0,male,,,very happy,fair,routine
20.0,male,,,very happy,excellent,exciting
74.0,male,,,very happy,fair,routine
63.0,female,,,pretty happy,poor,routine
22.0,female,,,very happy,good,exciting
25.0,male,,,pretty happy,good,routine
24.0,male,,,pretty happy,good,exciting
46.0,female,,,very happy,good,exciting
66.0,male,,,very happy,poor,routine
42.0,female,,,very happy,good,routine
53.0,female,,,very happy,excellent,exciting
25.0,male,,,not too happy,excellent,routine
42.0,female,,,pretty happy,excellent,routine
50.0,female,,,pretty happy,fair,routine
60.0,male,,,pretty happy,excellent,dull
29.0,male,,,pretty happy,good,exciting
34.0,male,,,very happy,good,exciting
26.0,female,,,pretty happy,excellent,exciting
31.0,female,,,very happy,good,routine
22.0,female,,,very happy,good,routine
19.0,female,,,pretty happy,fair,routine
67.0,male,,,pretty happy,good,exciting
55.0,male,,,pretty happy,excellent,exciting
66.0,female,,,pretty happy,good,routine
37.0,male,,,very happy,excellent,exciting
66.0,female,,,pretty happy,poor,dull
48.0,male,,,not too happy,fair,routine
25.0,female,,,very happy,excellent,exciting
78.0,female,,,very happy,good,exciting
73.0,female,,,pretty happy,good,routine
62.0,male,,,pretty happy,good,exciting
49.0,female,,,not too happy,fair,routine
48.0,female,,,pretty happy,excellent,exciting
56.0,female,,,very happy,good,dull
19.0,male,,,very happy,excellent,routine
58.0,female,,,pretty happy,poor,routine
25.0,female,,,pretty happy,excellent,exciting
58.0,male,,,pretty happy,excellent,exciting
34.0,male,,,very happy,good,exciting
66.0,male,,,very happy,good,routine
22.0,male,,,pretty happy,fair,exciting
35.0,female,,,very happy,excellent,exciting
24.0,male,,,pretty happy,excellent,exciting
21.0,female,,,pretty happy,good,routine
28.0,male,,,very happy,fair,routine
30.0,female,,,very happy,excellent,exciting
51.0,male,,,pretty happy,excellent,routine
29.0,female,,,pretty happy,excellent,exciting
55.0,male,,,pretty happy,poor,routine
23.0,male,,,pretty happy,good,routine
34.0,male,,,pretty happy,good,routine
28.0,female,,,very happy,good,exciting
66.0,female,,,not too happy,poor,dull
54.0,male,,,not too happy,good,routine
30.0,male,,,pretty happy,good,exciting
41.0,female,,,very happy,good,exciting
30.0,male,,,pretty happy,good,exciting
53.0,female,,,not too happy,good,routine
70.0,male,,,very happy,excellent,routine
33.0,female,,,very happy,excellent,exciting
35.0,female,,,pretty happy,good,exciting
35.0,female,,,very happy,excellent,exciting
48.0,male,,,pretty happy,excellent,routine
24.0,female,,,pretty happy,fair,routine
20.0,female,,,very happy,excellent,exciting
46.0,male,,,not too happy,fair,routine
65.0,female,,,pretty happy,fair,routine
63.0,female,,,pretty happy,fair,exciting
20.0,male,,,pretty happy,good,routine
26.0,male,,,pretty happy,excellent,routine
54.0,male,,,pretty happy,good,routine
38.0,male,,,pretty happy,excellent,exciting
26.0,male,,,pretty happy,good,exciting
51.0,male,,,pretty happy,good,exciting
22.0,male,,,not too happy,excellent,routine
24.0,female,,,very happy,excellent,exciting
61.0,male,,,pretty happy,fair,exciting
76.0,female,,,not too happy,good,exciting
41.0,female,,,very happy,fair,routine
38.0,male,,,very happy,good,routine
76.0,male,,,pretty happy,fair,exciting
67.0,male,,,pretty happy,poor,exciting
49.0,female,,,pretty happy,good,routine
54.0,male,,,pretty happy,good,exciting
34.0,male,,,pretty happy,fair,routine
41.0,male,,,pretty happy,good,dull
63.0,male,,,very happy,good,exciting
81.0,male,,,very happy,good,
43.0,female,,,pretty happy,excellent,
20.0,male,,,pretty happy,fair,routine
22.0,male,,,pretty happy,good,exciting
56.0,male,,,pretty happy,good,routine
57.0,male,,,pretty happy,good,exciting
21.0,male,,,pretty happy,good,exciting
37.0,male,,,pretty happy,excellent,exciting
68.0,male,,,pretty happy,excellent,exciting
51.0,female,,,pretty happy,fair,routine
21.0,male,,,pretty happy,excellent,exciting
28.0,female,,,pretty happy,fair,routine
23.0,female,,,pretty happy,good,dull
53.0,male,,,pretty happy,good,exciting
61.0,female,,,very happy,fair,exciting
42.0,male,,,very happy,excellent,exciting
63.0,male,,,pretty happy,fair,exciting
59.0,female,,,pretty happy,good,routine
31.0,male,,,very happy,good,exciting
34.0,female,,,very happy,fair,dull
72.0,female,,,pretty happy,good,routine
21.0,female,,,pretty happy,good,routine
71.0,female,,,very happy,excellent,exciting
64.0,female,,,very happy,fair,routine
56.0,female,,,pretty happy,good,routine
76.0,female,,,pretty happy,poor,routine
67.0,male,,,pretty happy,good,routine
55.0,female,,,very happy,poor,routine
65.0,female,,,very happy,poor,exciting
30.0,female,,,pretty happy,good,routine
40.0,female,,,pretty happy,fair,routine
36.0,male,,,not too happy,excellent,routine
73.0,female,,,very happy,excellent,routine
49.0,male,,,pretty happy,excellent,dull
68.0,female,,,pretty happy,good,exciting
23.0,male,,,very happy,excellent,exciting
27.0,female,,,pretty happy,excellent,exciting
65.0,female,,,not too happy,fair,routine
49.0,male,,,pretty happy,fair,dull
35.0,male,,,pretty happy,excellent,routine
26.0,female,,,pretty happy,excellent,exciting
24.0,female,,,very happy,excellent,exciting
73.0,female,,,very happy,good,routine
33.0,male,,,pretty happy,good,exciting
58.0,female,,,very happy,good,routine
54.0,female,,,very happy,good,routine
54.0,female,,,very happy,excellent,routine
56.0,male,,,pretty happy,poor,routine
63.0,male,,,pretty happy,excellent,routine
20.0,female,,,not too happy,fair,routine
53.0,male,,,pretty happy,good,
32.0,female,,,pretty happy,good,routine
86.0,female,,,pretty happy,fair,dull
66.0,female,,,pretty happy,fair,routine
88.0,female,,,pretty happy,poor,routine
49.0,female,,,pretty happy,poor,exciting
22.0,female,,,pretty happy,good,exciting
50.0,female,,,pretty happy,fair,routine
48.0,female,,,very happy,excellent,exciting
77.0,male,,,not too happy,poor,routine
74.0,female,,,pretty happy,poor,exciting
19.0,female,,,pretty happy,excellent,
23.0,female,,,pretty happy,good,exciting
20.0,male,,,pretty happy,good,routine
30.0,female,,,pretty happy,good,routine
26.0,female,,,pretty happy,good,exciting
19.0,female,,,pretty happy,good,exciting
29.0,male,,,pretty happy,excellent,exciting
30.0,male,,,pretty happy,excellent,exciting
23.0,female,,,pretty happy,fair,routine
42.0,male,,,pretty happy,excellent,exciting
28.0,female,,,very happy,excellent,routine
29.0,male,,,pretty happy,good,exciting
60.0,male,,,pretty happy,fair,exciting
20.0,female,,,very happy,good,exciting
55.0,female,,,pretty happy,good,routine
28.0,female,,,pretty happy,good,routine
25.0,male,,,not too happy,fair,routine
29.0,male,,,pretty happy,good,routine
82.0,male,,,pretty happy,good,dull
57.0,female,,,pretty happy,excellent,routine
74.0,female,,,not too happy,poor,dull
18.0,female,,,pretty happy,fair,exciting
26.0,male,,,pretty happy,good,exciting
61.0,female,,,very happy,excellent,exciting
66.0,female,,,very happy,poor,routine
44.0,male,,,pretty happy,good,exciting
52.0,male,,,pretty happy,good,exciting
56.0,female,,,not too happy,good,dull
59.0,female,,,pretty happy,poor,dull
74.0,female,,,pretty happy,fair,routine
19.0,male,,,pretty happy,good,routine
61.0,female,,,pretty happy,good,routine
62.0,female,,,pretty happy,excellent,routine
78.0,female,,,pretty happy,fair,routine
58.0,male,,,very happy,excellent,routine
79.0,female,,,pretty happy,fair,routine
62.0,male,,,pretty happy,poor,routine
26.0,female,,,pretty happy,good,routine
40.0,female,,,pretty happy,good,exciting
75.0,female,,,very happy,excellent,exciting
82.0,female,,,pretty happy,poor,routine
53.0,male,,,pretty happy,good,exciting
61.0,female,,,very happy,fair,exciting
64.0,male,,,very happy,excellent,routine
21.0,female,,,pretty happy,fair,exciting
60.0,female,,,pretty happy,fair,routine
34.0,male,,,very happy,excellent,exciting
26.0,female,,,pretty happy,excellent,routine
21.0,male,,,pretty happy,excellent,routine
66.0,female,,,very happy,fair,routine
44.0,female,,,pretty happy,good,routine
83.0,female,,,pretty happy,good,routine
73.0,female,,,pretty happy,fair,exciting
43.0,male,,,pretty happy,excellent,routine
36.0,female,,,not too happy,good,routine
22.0,female,,,not too happy,fair,routine
74.0,female,,,very happy,fair,routine
36.0,female,,,pretty happy,good,exciting
39.0,male,,,very happy,good,exciting
54.0,male,,,very happy,fair,dull
69.0,female,,,pretty happy,poor,routine
24.0,male,,,pretty happy,excellent,routine
21.0,male,,,not too happy,fair,routine
81.0,female,,,pretty happy,poor,dull
63.0,female,,,very happy,poor,exciting
22.0,female,,,very happy,good,routine
71.0,male,,,very happy,good,routine
22.0,male,,,pretty happy,good,routine
53.0,male,,,very happy,excellent,routine
45.0,female,,,pretty happy,good,routine
41.0,male,,,pretty happy,fair,exciting
58.0,female,,,very happy,fair,exciting
23.0,female,,,pretty happy,excellent,routine
56.0,male,,,very happy,fair,exciting
20.0,female,,,not too happy,excellent,exciting
33.0,female,,,pretty happy,fair,routine
77.0,female,,,very happy,fair,routine
48.0,male,,,very happy,good,routine
71.0,male,,,very happy,fair,routine
71.0,female,,,pretty happy,good,routine
66.0,female,,,pretty happy,fair,routine
36.0,female,,,very happy,excellent,routine
68.0,female,,,very happy,good,routine
25.0,male,,,pretty happy,good,routine
71.0,female,,,pretty happy,excellent,routine
52.0,male,,,pretty happy,fair,exciting
63.0,female,,,pretty happy,fair,routine
47.0,female,,,very happy,excellent,exciting
74.0,female,,,not too happy,poor,dull
44.0,female,,,not too happy,poor,dull
25.0,female,,,pretty happy,good,exciting
55.0,female,,,very happy,excellent,exciting
26.0,male,,,pretty happy,excellent,routine
53.0,male,,,very happy,excellent,exciting
55.0,male,,,pretty happy,fair,dull
20.0,female,,,pretty happy,excellent,exciting
40.0,female,,,very happy,good,exciting
54.0,female,,,very happy,excellent,routine
58.0,male,,,pretty happy,good,routine
22.0,female,,,very happy,excellent,exciting
47.0,male,,,pretty happy,fair,dull
46.0,male,,,pretty happy,good,
61.0,male,,,not too happy,poor,dull
38.0,female,,,pretty happy,good,exciting
63.0,female,,,pretty happy,fair,routine
60.0,female,,,pretty happy,good,routine
55.0,female,,,pretty happy,good,routine
34.0,female,,,pretty happy,fair,routine
22.0,male,,,pretty happy,good,routine
29.0,male,,,pretty happy,good,exciting
56.0,male,,,very happy,good,routine
41.0,female,,,pretty happy,good,exciting
,female,,,pretty happy,good,exciting
34.0,female,,,pretty happy,good,exciting
50.0,female,,,very happy,excellent,exciting
31.0,female,,,pretty happy,excellent,exciting
65.0,female,,,pretty happy,fair,exciting
25.0,male,,,pretty happy,good,exciting
58.0,male,,,very happy,good,exciting
40.0,female,,,pretty happy,good,exciting
50.0,female,,,pretty happy,good,exciting
19.0,male,,,pretty happy,excellent,exciting
46.0,male,,,pretty happy,excellent,exciting
42.0,female,,,pretty happy,good,exciting
46.0,female,,,pretty happy,good,routine
63.0,male,,,pretty happy,poor,routine
49.0,male,,,not too happy,excellent,routine
58.0,male,,,very happy,excellent,exciting
50.0,female,,,pretty happy,good,routine
68.0,male,,,very happy,good,routine
35.0,female,,,very happy,excellent,exciting
,male,,,very happy,good,exciting
63.0,female,,,pretty happy,excellent,exciting
28.0,male,,,pretty happy,good,exciting
50.0,female,,,not too happy,fair,routine
41.0,male,,,pretty happy,good,exciting
69.0,female,,,not too happy,fair,routine
61.0,male,,,pretty happy,fair,exciting
57.0,male,,,pretty happy,good,routine
79.0,male,,,very happy,good,routine
57.0,female,,,pretty happy,fair,routine
39.0,female,,,pretty happy,good,routine
71.0,female,,,pretty happy,fair,routine
40.0,male,,,pretty happy,good,routine
34.0,female,,,pretty happy,good,routine
27.0,female,,,very happy,excellent,exciting
82.0,male,,,,,
55.0,male,,,pretty happy,good,routine
21.0,male,,,pretty happy,good,exciting
50.0,female,,,very happy,excellent,exciting
25.0,male,,,pretty happy,excellent,exciting
33.0,female,,,not too happy,fair,exciting
33.0,female,,,pretty happy,excellent,routine
57.0,female,,,not too happy,good,dull
35.0,male,,,pretty happy,good,routine
20.0,male,,,pretty happy,excellent,exciting
50.0,male,,,pretty happy,good,exciting
56.0,female,,,pretty happy,good,routine
30.0,female,,,pretty happy,excellent,exciting
19.0,male,,,not too happy,fair,routine
27.0,female,,,not too happy,fair,exciting
37.0,male,,,pretty happy,good,routine
35.0,male,,,pretty happy,excellent,exciting
56.0,female,,,pretty happy,fair,exciting
20.0,female,,,pretty happy,fair,dull
65.0,male,,,not too happy,poor,exciting
24.0,female,,,pretty happy,fair,routine
37.0,female,,,pretty happy,excellent,routine
59.0,male,,,pretty happy,good,exciting
43.0,female,,,pretty happy,fair,exciting
22.0,female,,,pretty happy,excellent,exciting
67.0,male,,,pretty happy,good,routine
57.0,female,,,very happy,excellent,routine
52.0,female,,,very happy,good,exciting
39.0,male,,,pretty happy,excellent,routine
51.0,female,,,very happy,excellent,routine
43.0,female,,,pretty happy,poor,routine
40.0,female,,,not too happy,good,routine
61.0,male,,,very happy,excellent,routine
48.0,female,,,pretty happy,excellent,routine
64.0,female,,,pretty happy,excellent,routine
74.0,female,,,pretty happy,poor,dull
30.0,male,,,pretty happy,fair,routine
20.0,female,,,not too happy,poor,dull
76.0,female,,,very happy,excellent,exciting
26.0,female,,,not too happy,good,exciting
42.0,female,,,pretty happy,poor,exciting
64.0,female,,,not too happy,excellent,routine
36.0,male,,,not too happy,good,routine
64.0,female,,,very happy,fair,routine
34.0,female,,,very happy,good,exciting
30.0,female,,,very happy,excellent,exciting
71.0,male,,,pretty happy,excellent,exciting
54.0,female,,,very happy,good,exciting
38.0,female,,,very happy,excellent,exciting
74.0,female,,,pretty happy,good,routine
23.0,female,,,very happy,excellent,exciting
36.0,male,,,very happy,good,exciting
53.0,female,,,not too happy,fair,routine
29.0,male,,,not too happy,excellent,routine
58.0,male,,,very happy,excellent,exciting
67.0,male,,,very happy,fair,exciting
26.0,female,,,pretty happy,poor,routine
35.0,male,,,very happy,good,exciting
33.0,female,,,pretty happy,excellent,routine
32.0,male,,,very happy,excellent,exciting
60.0,female,,,very happy,good,exciting
47.0,female,,,very happy,excellent,exciting
59.0,male,,,very happy,good,routine
58.0,female,,,very happy,excellent,exciting
61.0,male,,,very happy,excellent,exciting
36.0,female,,,pretty happy,excellent,routine
42.0,male,,,very happy,good,exciting
25.0,male,,,not too happy,good,exciting
67.0,male,,,very happy,fair,exciting
25.0,female,,,not too happy,good,routine
35.0,male,,,not too happy,excellent,exciting
32.0,male,,,not too happy,excellent,routine
45.0,male,,,pretty happy,good,routine
29.0,male,,,pretty happy,good,routine
26.0,male,,,pretty happy,excellent,exciting
30.0,male,,,pretty happy,fair,routine
20.0,male,,,pretty happy,excellent,exciting
68.0,male,,,not too happy,fair,exciting
63.0,male,,,pretty happy,poor,routine
51.0,female,,,pretty happy,good,routine
28.0,female,,,pretty happy,excellent,exciting
27.0,male,,,not too happy,excellent,routine
32.0,male,,,very happy,fair,routine
30.0,female,,,very happy,excellent,exciting
39.0,female,,,very happy,excellent,exciting
40.0,male,,,very happy,good,exciting
31.0,male,,,very happy,good,exciting
41.0,male,,,very happy,excellent,exciting
42.0,male,,,very happy,good,exciting
26.0,female,,,very happy,good,exciting
38.0,female,,,pretty happy,good,routine
33.0,male,,,pretty happy,good,routine
65.0,female,,,very happy,good,exciting
53.0,male,,,pretty happy,fair,exciting
73.0,female,,,pretty happy,excellent,routine
46.0,male,,,pretty happy,excellent,exciting
53.0,female,,,very happy,good,exciting
42.0,female,,,pretty happy,good,routine
26.0,male,,,pretty happy,good,routine
44.0,male,,,pretty happy,excellent,exciting
39.0,female,,,very happy,excellent,exciting
42.0,male,,,pretty happy,fair,routine
42.0,female,,,pretty happy,good,exciting
33.0,male,,,very happy,excellent,exciting
20.0,male,,,pretty happy,fair,exciting
23.0,male,,,pretty happy,excellent,exciting
23.0,male,,,pretty happy,good,routine
28.0,female,,,very happy,excellent,exciting
51.0,male,,,pretty happy,good,routine
33.0,female,,,pretty happy,excellent,exciting
23.0,male,,,pretty happy,excellent,exciting
58.0,male,,,very happy,good,exciting
32.0,male,,,very happy,good,routine
20.0,female,,,not too happy,excellent,routine
33.0,male,,,very happy,excellent,exciting
37.0,male,,,very happy,good,exciting
54.0,male,,,very happy,excellent,routine
27.0,female,,,not too happy,excellent,routine
65.0,male,,,pretty happy,good,routine
54.0,male,,,pretty happy,good,exciting
27.0,male,,,pretty happy,good,exciting
50.0,female,,,very happy,excellent,exciting
49.0,male,,,pretty happy,excellent,routine
30.0,female,,,pretty happy,excellent,exciting
66.0,male,,,not too happy,fair,routine
54.0,female,,,not too happy,excellent,routine
44.0,female,,,pretty happy,fair,routine
31.0,female,,,pretty happy,excellent,exciting
28.0,male,,,very happy,excellent,exciting
52.0,female,,,pretty happy,good,dull
43.0,female,,,very happy,excellent,exciting
55.0,male,,,pretty happy,fair,exciting
35.0,male,,,very happy,good,exciting
47.0,female,,,pretty happy,excellent,routine
25.0,female,,,pretty happy,excellent,dull
42.0,male,,,pretty happy,good,routine
34.0,male,,,pretty happy,good,routine
28.0,female,,,pretty happy,good,exciting
21.0,male,,,pretty happy,excellent,routine
63.0,male,,,pretty happy,fair,exciting
45.0,female,,,pretty happy,good,routine
25.0,male,,,very happy,good,routine
61.0,female,,,pretty happy,good,routine
35.0,female,,,pretty happy,excellent,exciting
33.0,female,,,pretty happy,excellent,routine
48.0,female,,,very happy,excellent,routine
46.0,male,,,not too happy,poor,dull
34.0,female,,,very happy,excellent,exciting
25.0,female,,,very happy,excellent,exciting
36.0,female,,,very happy,good,routine
45.0,male,,,pretty happy,excellent,exciting
28.0,male,,,very happy,excellent,exciting
44.0,male,,,very happy,excellent,exciting
51.0,male,,,pretty happy,good,routine
51.0,male,,,very happy,excellent,exciting
30.0,female,,,not too happy,good,dull
73.0,female,,,pretty happy,fair,routine
43.0,male,,,not too happy,fair,dull
51.0,male,,,pretty happy,good,exciting
29.0,female,,,pretty happy,excellent,exciting
34.0,male,,,not too happy,fair,exciting
76.0,male,,,not too happy,poor,dull
72.0,male,,,pretty happy,poor,routine
53.0,female,,,pretty happy,good,routine
59.0,female,,,pretty happy,good,routine
60.0,male,,,pretty happy,poor,dull
