age,sex,webhltbeh,wwwhr,happy,health,life
65.0,male,,,pretty happy,good,
59.0,male,,,not too happy,fair,
26.0,male,,,pretty happy,excellent,
41.0,female,,,very happy,good,
56.0,male,,,pretty happy,excellent,
62.0,male,,,not too happy,excellent,
29.0,male,,,very happy,excellent,
25.0,female,,,very happy,excellent,
41.0,female,,,very happy,good,
21.0,female,,,pretty happy,good,
49.0,female,,,pretty happy,good,
38.0,male,,,very happy,excellent,
50.0,male,,,very happy,excellent,
43.0,male,,,pretty happy,excellent,
32.0,male,,,pretty happy,excellent,
55.0,female,,,pretty happy,excellent,
27.0,female,,,very happy,good,
56.0,male,,,pretty happy,fair,
48.0,female,,,very happy,excellent,
56.0,male,,,pretty happy,good,
44.0,female,,,very happy,poor,
25.0,female,,,pretty happy,fair,
32.0,male,,,pretty happy,good,
33.0,female,,,very happy,excellent,
48.0,male,,,very happy,excellent,
45.0,male,,,pretty happy,excellent,
45.0,female,,,not too happy,fair,
72.0,male,,,very happy,fair,
45.0,female,,,pretty happy,fair,
70.0,female,,,not too happy,fair,
31.0,female,,,pretty happy,good,
20.0,male,,,pretty happy,good,
22.0,female,,,pretty happy,good,
63.0,male,,,pretty happy,poor,
70.0,male,,,pretty happy,fair,
68.0,male,,,very happy,good,
43.0,female,,,very happy,excellent,
53.0,female,,,pretty happy,excellent,
44.0,female,,,pretty happy,good,
37.0,female,,,pretty happy,excellent,
55.0,male,,,pretty happy,good,
52.0,male,,,very happy,good,
64.0,male,,,pretty happy,excellent,
,male,,,pretty happy,excellent,
64.0,male,,,pretty happy,good,
27.0,female,,,pretty happy,excellent,
28.0,male,,,very happy,excellent,
22.0,male,,,pretty happy,good,
61.0,female,,,very happy,fair,
82.0,female,,,not too happy,good,
22.0,male,,,very happy,good,
30.0,female,,,very happy,fair,
29.0,female,,,very happy,excellent,
60.0,male,,,very happy,fair,
39.0,female,,,very happy,good,
21.0,female,,,pretty happy,good,
56.0,male,,,pretty happy,fair,
72.0,male,,,pretty happy,good,
61.0,male,,,pretty happy,poor,
71.0,male,,,pretty happy,excellent,
56.0,female,,,not too happy,poor,
71.0,female,,,very happy,excellent,
48.0,male,,,very happy,excellent,
43.0,female,,,very happy,fair,
61.0,female,,,very happy,good,
70.0,male,,,pretty happy,excellent,
48.0,female,,,very happy,good,
34.0,female,,,very happy,good,
19.0,male,,,not too happy,good,
52.0,female,,,very happy,fair,
30.0,male,,,not too happy,excellent,
60.0,male,,,pretty happy,good,
50.0,male,,,pretty happy,good,
47.0,female,,,pretty happy,excellent,
50.0,female,,,pretty happy,poor,
68.0,female,,,pretty happy,good,
50.0,male,,,very happy,excellent,
21.0,male,,,not too happy,fair,
72.0,female,,,pretty happy,good,
52.0,male,,,not too happy,good,
32.0,female,,,very happy,good,
52.0,male,,,very happy,good,
60.0,female,,,very happy,fair,
32.0,male,,,pretty happy,good,
60.0,female,,,pretty happy,good,
80.0,female,,,pretty happy,fair,
58.0,male,,,pretty happy,good,
36.0,female,,,pretty happy,good,
31.0,female,,,pretty happy,good,
30.0,male,,,very happy,good,
63.0,male,,,very happy,good,
34.0,male,,,pretty happy,good,
29.0,female,,,pretty happy,good,
36.0,female,,,not too happy,fair,
